entity,variable,date,value,unit,measurementMethod,observationPeriod
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2025-01-31,148086929995.95,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2025-02-28,201396931934.87,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2025-03-31,348691970710.56,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2025-04-30,214375977383.54,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2025-05-31,281806949792.97,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2025-06-30,389355984751.83,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2025-07-31,180109976509.54,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2025-08-31,54972893619.43,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2025-09-30,22045976391.76,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2025-10-31,32551888071.31,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2025-11-30,6835968975.3,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2025-12-31,72592966160.59,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2026-01-31,3304000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2026-02-28,6997985421.24,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2026-03-31,6406995387.99,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2026-04-30,2591000000,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2026-05-31,5641983294.73,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFederalReserve_Sum_Amount_Investment,2026-06-30,6829980601.94,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFicc_Sum_Amount_Investment,2014-03-31,13609863.71,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFicc_Sum_Amount_Investment,2014-04-30,24152651.42,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFicc_Sum_Amount_Investment,2014-05-31,6879736.13,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFicc_Sum_Amount_Investment,2014-06-30,22447872.86,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFicc_Sum_Amount_Investment,2014-07-31,14428367.2,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFicc_Sum_Amount_Investment,2014-08-31,8596296.79,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFicc_Sum_Amount_Investment,2014-09-30,441836127.7,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
country/USA,seiche/OfrMoneyMarketFundRepoFicc_Sum_Amount_Investment,2014-10-31,148847057.93,USDollar,seiche/OfrMonthlyRevisedSeries,P1D
